time_s,x_m,y_m,z_m
9.6,-6.209,3.388,1.267
9.64,-6.206679345605026,3.3883867757324957,1.2646793456050258
9.68,-6.201588268113408,3.3894705772955307,1.2600588454089383
9.72,-6.197150620791809,3.390949793069397,1.2571004138612056
9.76,-6.194066884915098,3.392,1.2547993452547048
9.8,-6.194297503055029,3.392,1.2541074908349128
9.84,-6.19452812119496,3.392,1.253415636415121
9.88,-6.19475873933489,3.392,1.2527237819953292
9.92,-6.194989357474821,3.392,1.2520319275755372
9.96,-6.195,3.392,1.252
10,-6.195,3.3922490010067543,1.2526225025168864
10.04,-6.195,3.393737154210851,1.2563428855271268
10.08,-6.194350183364537,3.394,1.257
10.12,-6.19356097186027,3.394,1.257
10.16,-6.193,3.394,1.257
10.2,-6.193,3.394,1.257
10.24,-6.192540619848753,3.3935406198487525,1.2625125618149668
10.28,-6.190287472503708,3.3921437362518536,1.2767063737333164
10.32,-6.1864000182278795,3.39020000911394,1.294199917974543
10.36,-6.186,3.39,1.296
10.4,-6.186,3.39,1.296
10.44,-6.186,3.39,1.296
10.48,-6.172871880645199,3.3890622771889425,1.3757064389398606
10.52,-6.172,3.389,1.381
10.56,-6.172,3.389,1.381
10.6,-6.172,3.389,1.381
10.64,-6.172,3.389,1.381
10.68,-6.162473716203298,3.3861421148609896,1.4210103919461492
10.72,-6.15279296056875,3.377368400533203,1.466733437298437
10.76,-6.146,3.371,1.499
10.8,-6.146,3.371,1.499
10.84,-6.146,3.371,1.499
10.88,-6.146,3.371,1.499
10.92,-6.144952672543492,3.369778117967407,1.5054585193151344
10.96,-6.14218396468404,3.366547958798047,1.522532217781751
11,-6.139491151310907,3.3648480811484864,1.5419365680394062
11.04,-6.1370817972149485,3.368863671308419,1.570045699158931
11.08,-6.137,3.369,1.571
11.12,-6.134999562401585,3.369,1.5803353754592653
11.16,-6.131,3.369,1.599
11.2,-6.131,3.369,1.599
11.24,-6.116726773558368,3.3709030968588842,1.6332557434599158
11.28,-6.116,3.371,1.635
11.32,-6.108744743280496,3.368327010682288,1.648746802205376
11.36,-6.097,3.364,1.671
11.4,-6.097,3.364,1.671
11.44,-6.077636751164335,3.3481573418617283,1.7044456116252402
11.48,-6.063569582861102,3.335998385003464,1.7215020187456707
11.52,-6.050427763664537,3.324499293206469,1.7358758834919135
11.56,-6.043,3.318,1.744
11.6,-6.043,3.318,1.744
11.64,-6.026725141671026,3.303811661969612,1.7573537299109534
11.68,-5.985580395048894,3.2676656333452456,1.784688492901465
11.72,-5.937434220027505,3.2249699687036366,1.8073989528172145
11.76,-5.898,3.19,1.826
11.8,-5.898,3.19,1.826
11.84,-5.898,3.19,1.826
11.88,-5.898,3.19,1.826
11.92,-5.898,3.19,1.826
11.96,-5.864223078694711,3.161852565578926,1.831629486884215
12,-5.838,3.14,1.836
12.04,-5.838,3.14,1.836
12.08,-5.778963445419046,3.0906415691208413,1.8369678123701796
12.12,-5.750100172784671,3.066347513923933,1.8360561464134972
12.16,-5.722301685755148,3.0429382616885454,1.8350807609036894
12.2,-5.72,3.041,1.835
12.24,-5.696719101633244,3.020305868118439,1.8315509780197399
12.28,-5.657273062874831,2.9844587423881315,1.824771845840382
12.32,-5.634548290416754,2.962217475727036,1.818969776276618
12.36,-5.619,2.947,1.815
12.4,-5.619,2.947,1.815
12.44,-5.610392238174263,2.9381872914641263,1.812950532898634
12.48,-5.5785294184463865,2.9055658331713006,1.8053641472491395
12.52,-5.558489383524277,2.8854893835242774,1.801388172394981
12.56,-5.539045456668051,2.8660454566680515,1.7975942354474246
