time_s,rtk_x_m,rtk_y_m,rtk_z_m,ekf_x_m,ekf_y_m,ekf_error_m,ekf_rts_x_m,ekf_rts_y_m,ekf_rts_error_m,jointopt_x_m,jointopt_y_m,jointopt_z_m,jointopt_error_m
5.08,-0.7062748285180748,5.686576974151169,1.4578575536408274,-0.45896787669528855,7.198052670330564,1.5315741929664604,-0.136327034057107,6.979032299535431,1.4125442494042657,-1.1511011302686605,5.823525079759456,1.0,0.4654301476685858
5.12,-0.729,5.675,1.457,-0.4770708599563191,7.222159402559513,1.5675364456788428,-0.14500199536896857,6.933294354587086,1.3872124394622325,-1.1606366996630377,5.790904411690294,1.0,0.44692736898211166
5.16,-0.729,5.675,1.457,-0.4140673414516541,7.417484252543188,1.770715660342259,-0.15612690857271677,6.87701274666349,1.3315473037120986,-1.1701722690574148,5.75828374362113,1.0,0.44896453416368876
5.2,-0.7579716200768993,5.658444788527486,1.457,-0.5951298380536297,7.480634977088473,1.8294519751172582,-0.1634030094819397,6.827690700924512,1.3117346669056107,-1.1797078384517918,5.725663075551967,1.0,0.4270594057033056
5.24,-0.7978840077849969,5.634610343398495,1.457,-0.7797436430240796,7.382496817507562,1.7479806060729293,-0.17149615231094628,6.770890459989695,1.297495375269558,-1.1892434078461693,5.693042407482805,1.0,0.39569746793401867
5.28,-0.8281357209994564,5.61204160496866,1.457,-0.8712461690288263,7.274055313143224,1.6625727283007679,-0.18345352970461892,6.7101350530567005,1.2733516201374215,-1.1987789772405464,5.660421739413641,1.0,0.37378745405097896
5.32,-0.855,5.592,1.457,-0.9082082178772313,7.203638140574959,1.6125162357649565,-0.19731319342759823,6.6488961687073855,1.2448218535066593,-1.2083145466349237,5.627801071344479,1.0,0.3551237609246305
5.36,-0.8610976152212064,5.586295779309194,1.4569016513674,-0.935229753748564,7.157606269977089,1.5730582417843342,-0.21188503911147338,6.588063738985957,1.1937403461448308,-1.2178501160293007,5.595180403275315,1.0,0.35686311574026347
5.4,-0.8920890551399282,5.5573037871271636,1.456401789433227,-0.9627843502411892,7.123990373601543,1.5682808055282051,-0.2263600843192063,6.527909488799235,1.1769751444734726,-1.227385685423678,5.562559735206153,1.0,0.3353378226055728
5.44,-0.9218118497820448,5.528478205168145,1.4558422344333755,-0.9923920449841492,7.095972821282611,1.569082832581698,-0.24033866348288457,6.468289445480736,1.1608836595725778,-1.2369212548180553,5.52993906713699,1.0,0.3151127913300895
5.48,-0.946337180693384,5.500334382810871,1.4550381252231677,-1.0235868710027451,7.0701983886409465,1.5717635036651492,-0.2536534040033651,6.408920119807746,1.1425142694792496,-1.2464568242124323,5.497318399067827,1.0,0.30013479735601956
5.52,-0.9708625116047226,5.472190560453598,1.4542340160129599,-1.0556555649940917,7.045157646851758,1.5752508742403568,-0.2662381212468038,6.349527437712799,1.1252624261416513,-1.2559923936068094,5.464697730998664,1.0,0.2852283157468148
5.56,-0.978,5.464,1.454,-1.0880308493650976,7.02022466515986,1.5601096103363772,-0.27805436413891127,6.289878636887351,1.0825892185071362,-1.2655279630011869,5.4320770629295,1.0,0.2892946653825801
5.6,-1.0196510651546533,5.408935879965035,1.4532940497431415,-1.1203373708687159,6.995166679746365,1.5894231287902114,-0.28903955443636564,6.229758563264699,1.0988826402365814,-1.275063532395564,5.399456394860338,1.0,0.25558831949042465
5.64,-1.0704876916608588,5.327909106302592,1.453683422278793,-1.152353104709758,6.969914618355954,1.6440450259853872,-0.29903345515179536,6.168946694040372,1.1412650275091962,-1.2845991017899412,5.366835726791175,1.0,0.21762117941534623
5.68,-1.093130320673909,5.282885131260881,1.454,-1.1839598450609623,6.94446208588432,1.6640576848883817,-0.3076166301320846,6.107265952340537,1.1386990367048728,-1.2941346711843185,5.334215058722012,1.0,0.20745483936817802
5.72,-1.103735007217768,5.255943495176481,1.454,-1.2151032441316885,6.918823399027376,1.6666050698424255,-0.31371796351043146,6.044871693916292,1.1164831535293858,-1.3036702405786953,5.301594390652848,1.0,0.2050807201978836
5.76,-1.1143396937616274,5.229001859092081,1.454,-1.2379568326840447,6.884878364280576,1.6604843261743325,-0.3146459757261263,5.98325218070344,1.0992741197336913,-1.3132058099730726,5.268973722583685,1.0,0.20284349151011824
5.8,-1.123,5.207,1.454,-1.2604562851123198,6.850357376788219,1.6490960245422752,-0.3174441688531964,5.9237007843239065,1.0782301291213858,-1.32274137936745,5.236353054514524,1.0,0.2018866524586116
5.84,-1.123,5.207,1.454,-1.2860809184065218,6.817506051202969,1.6187418345461064,-0.3198977344157721,5.8662683831821525,1.0390418904212328,-1.3322769487618271,5.203732386445362,1.0,0.20930245717956314
5.88,-1.130592502042672,5.175718891584191,1.454,-1.3154827163754796,6.787808587762729,1.6226575670427335,-0.3196626103220386,5.81442863837077,1.0322584123785157,-1.3418125181562042,5.171111718376199,1.0,0.21127025642993208
5.92,-1.143927268160705,5.120779655177896,1.454,-1.344965400537762,6.7572250850288835,1.6487480024399845,-0.31445544433188277,5.782819273660213,1.061282225878736,-1.3513480875505814,5.138491050307035,1.0,0.2081756225733174
5.96,-1.1521292633548383,5.073994019621508,1.453724715776344,-1.3130019350290876,6.549589114936143,1.4843385401613134,-0.2979818555680336,5.8072339482694115,1.1257035965086462,-1.3608836569449587,5.105870382237873,1.0,0.21117409722034775
6.0,-1.158074259823156,5.030793711951733,1.4533283826784562,-1.239956147554376,6.355048437566141,1.3267837886598246,-0.27630889126501146,5.764616058233615,1.147172786066304,-1.370419226339336,5.073249714168709,1.0,0.21654767818890477
6.04,-1.163,4.995,1.453,-1.102758818187882,6.202061343009204,1.2085636457271511,-0.25339499093584705,5.691806799705124,1.145827643509221,-1.3793929129096854,5.040472174747459,1.0,0.2211189983556412
6.08,-1.163783092485781,4.980512789013051,1.4527389691714063,-0.9563347194653663,6.05867725831745,1.0979405495468566,-0.2295006130104793,5.625101032804093,1.1350672911718214,-1.3878047166560075,5.007537763974118,1.0,0.22564582284525556
6.12,-1.1678207035304877,4.905816984685979,1.451393098823171,-0.8111495756355929,5.914106251372832,1.0695146276651524,-0.20574582576502165,5.567243267340758,1.1675070868367166,-1.395654637578302,4.974446481848689,1.0,0.23794602199765882
6.16,-1.168066694641552,4.831268247247696,1.451933305358448,-0.6649240196617376,5.769952854490725,1.0650264519066386,-0.18282904350979112,5.514716899506231,1.1990810187312775,-1.402942675676569,4.941198328371175,1.0,0.2593286509488998
6.2,-1.167,4.771,1.453,-0.5658740662400554,5.587270953557676,1.013731057954092,-0.16081436397339388,5.460894009499376,1.2199849501077427,-1.4096688309508083,4.90779330354157,1.0,0.2785687875711279
6.24,-1.167,4.771,1.453,-0.7277670761694753,5.509921281186925,0.8596105055009727,-0.13577620778961286,5.394392862822812,1.2050067099560873,-1.4158331034010199,4.874231407359878,1.0,0.26939680178815
6.28,-1.1635424217664354,4.689401153687876,1.453,-0.5366525257420065,5.424582538344364,0.9661690380481823,-0.11060571108299205,5.3212230671057,1.2279554743474332,-1.421435493027204,4.840512639826097,1.0,0.29890385987339435
6.32,-1.162,4.653,1.453,-0.3680872541767748,5.295718099195099,1.021461699239641,-0.09643031431582694,5.2662470150560665,1.2294350965074339,-1.4264759998293606,4.806637000940227,1.0,0.30586252229334565
6.36,-1.162,4.653,1.453,-0.17031271338846848,5.226448104348108,1.1455506984884523,-0.06357438830864211,5.173839983874223,1.2156533688603979,-1.4309546238074895,4.772604490702269,1.0,0.29434983245039836
6.4,-1.1591773998849968,4.593725397584935,1.4539408667050011,0.031157230913778894,5.169412015455822,1.3222373520947284,-0.02366352235923111,5.068929412014788,1.230938918624254,-1.434871364961591,4.738415109112224,1.0,0.3113555443564551
6.44,-1.155572757182346,4.5154644439233405,1.455085448563531,0.23636798533457742,5.134066206514133,1.5232094968713263,0.020221415477627847,4.959761456803939,1.2569374575195758,-1.4382262232916647,4.704068856170089,1.0,0.3398008331693041
6.48,-1.153585787612422,4.461816265535398,1.4554828424775157,0.39761215071097455,5.084058770822736,1.671346995463545,0.0565125966230845,4.859253496190961,1.2736932330198456,-1.4410191987977108,4.669565731875867,1.0,0.35465166943123355
6.52,-1.1515988180424983,4.408168087147456,1.4558802363915002,0.4613783370366352,5.029676937280955,1.728574138879047,0.07581302335711587,4.7819601864445955,1.2830667799865112,-1.4432502914797294,4.634905736229555,1.0,0.3694191974835431
6.56,-1.1501612962993881,4.350903518670023,1.456,0.47771609676388604,4.968914390878321,1.7412415814625328,0.0842970402765062,4.711954995783811,1.2861747757858466,-1.4449195013377205,4.600088869231157,1.0,0.38597375347514845
6.6,-1.1489607942660194,4.292078919034956,1.456,0.5581086944100644,4.903839895544767,1.8133774376971452,0.10315377275156534,4.632144835809746,1.2974728192488318,-1.4460268283716842,4.5651151308806694,1.0,0.40348110438820484
6.64,-1.1477433711514742,4.2248546353907335,1.456,0.6039061204917174,4.8388908041556675,1.8561563398931056,0.10341587845634859,4.564846937984213,1.2965316169311207,-1.4465722725816204,4.529984521178094,1.0,0.4270865948851074
6.68,-1.1464581251292736,4.123962822647986,1.456,0.6302451298673735,4.775566518636228,1.8924222131810908,0.09314105441736042,4.504602896204292,1.2967239457685813,-1.4465558339675284,4.49469704012343,1.0,0.47697221602217055
6.72,-1.1462502042282405,4.046215893883813,1.4557497957717593,0.6463951259674303,4.714164003918046,1.9130425916771034,0.0765120345605369,4.448679969618346,1.2872936047633403,-1.4459775125294092,4.459252687716678,1.0,0.5103291608375871
6.76,-1.1466389913956716,3.981288436922835,1.4553610086043285,0.6567383506314012,4.654244485054586,1.9248479629450563,0.05578300764749311,4.3956139952569915,1.2718035744846259,-1.4448373082672623,4.423651463957836,1.0,0.5334859734544282
6.8,-1.14720239503265,3.9123476123542154,1.4550505987581626,0.6634005615972979,4.595271773588133,1.9351145900318565,0.03214055050917708,4.344638508513973,1.2560753170498493,-1.443135221181088,4.387893368846908,1.0,0.5601071362787736
6.84,-1.1500351042392163,3.7912492937735065,1.455758776059804,0.6675027209595249,4.536805250477223,1.9645094630987563,0.006097624954236047,4.295433688127102,1.2612869582382917,-1.440871251270886,4.3519784023838906,1.0,0.6316666824071244
6.88,-1.151,3.75,1.456,0.669713672036137,4.478535911416299,1.9610616639367795,-0.02235241430221424,4.248031624203849,1.2336453588485485,-1.4380453985366566,4.315906564568785,1.0,0.6345433796385492
6.92,-1.151,3.75,1.456,0.6704911970695524,4.420271718404313,1.9409003986538163,-0.05374747043556738,4.202833933712959,1.1870221923609934,-1.4346576629783998,4.279677855401591,1.0,0.6008496486386558
6.96,-1.1517383692113923,3.7317517323470195,1.456105481315913,0.6701837551932877,4.361908602930527,1.9278220636093109,-0.08935546069436884,4.160764384641912,1.1457352661667477,-1.430708044596115,4.243292274882308,1.0,0.5826644029298127
7.0,-1.1552105880926826,3.6459383228522686,1.456601512584669,0.6836665655039883,4.301650819996679,1.9522879052360984,-0.13168582811210316,4.1236537816604,1.1295198067663828,-1.4261965433898023,4.206749823010939,1.0,0.6228506455632126
7.04,-1.1587854029519122,3.554092413902555,1.457,0.6993472047245024,4.241192180975802,1.9811014304225978,-0.1729493239366685,4.087402827252741,1.1208446688439464,-1.4211231593594624,4.17005049978748,1.0,0.6694964241905756
7.08,-1.1627793442310743,3.4376024599269956,1.457,0.6449489267771876,4.220152969895731,1.969839283407367,-0.21227514216701437,4.052530192470485,1.132075242372393,-1.415487892505095,4.1331943052119335,1.0,0.7400740676430083
7.12,-1.164,3.402,1.457,0.4630497061464297,4.280768175814755,1.8491955691856865,-0.25396777461745723,4.023562632208669,1.1020429923523272,-1.4092907428267,4.096181239284298,1.0,0.7362439415647218
7.16,-1.1644840373626544,3.384961884834566,1.457096807472531,0.3411924928432509,4.299321087703165,1.761565941281618,-0.2975438673091676,4.004623696005439,1.0656294002494182,-1.4025317103242778,4.059011302004574,1.0,0.7148491528914835
7.2,-1.1677272147347422,3.2708020413370753,1.4577454429469485,0.31398085756898136,4.276910411476608,1.7910088955655257,-0.340089781008793,3.9876680986001736,1.0949340919710258,-1.3952107949978274,4.021684493372762,1.0,0.7845847539077194
7.24,-1.169,3.226,1.458,0.23771688467206264,4.3069119265592875,1.7740414275319456,-0.389987315529426,3.976756273500017,1.081894516468996,-1.3873279968473495,3.9842008133888624,1.0,0.7890092443253811
7.28,-1.170091980837143,3.1990124735963197,1.457688005475102,0.1743310247992446,4.3266217929652075,1.754701112785863,-0.4282163006593004,3.960872958233608,1.0633959389103858,-1.3794451986968719,3.9467171334049618,1.0,0.7764605773172134
7.32,-1.176250051806178,3.046165250631129,1.4557082728927921,0.16470738589231998,4.31072317173036,1.8431694402668817,-0.46211877311872124,3.9440078502887506,1.1472161160652068,-1.371562400546394,3.909233453421061,1.0,0.8848918782752292
7.36,-1.1793303711501093,2.9619698552303424,1.452114566991539,0.174763352203066,4.265271292856425,1.8794053445019991,-0.4978810545091213,3.929654053856004,1.1835480046961586,-1.3636796023959166,3.8717497734371613,1.0,0.9282694321334329
7.4,-1.182,2.889,1.449,0.18540874300986968,4.222959963510231,1.9103025558031506,-0.533712246421893,3.915085229759415,1.2137248082534113,-1.355796804245439,3.834266093453261,1.0,0.961110460144055
7.44,-1.182,2.889,1.449,0.11918345299275072,4.2603291576020546,1.8904026123637523,-0.568744845538165,3.8994971514809365,1.182026386179723,-1.347914006094961,3.7967824134693613,1.0,0.9228197915209326
7.48,-1.1824440952288406,2.8762988764551536,1.4490888190457683,0.04250999859848069,4.317097362197323,1.891140610452127,-0.6066308302534443,3.889417901609125,1.1653201599777459,-1.3400312079444832,3.759298733485461,1.0,0.8969517521079916
